Service Request Description,Department,Method Received,Created Date,Block,Street,Ward
Sidewalk Construction & Repair,Maintenance,Phone,10/12/2016 15:06,12##,MONMOUTH,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/12/2016 15:16,33##,WOODWARD,WARD 9
Dirty Yard,Bylaw Enforcement,Phone,10/12/2016 15:16,15##,VICTORIA,WARD 3
Sewer Maintenance,Maintenance,Phone,10/12/2016 15:19,12##,MOY,WARD 4
Downspout Disconnect,Contracts and Field Services,Phone,10/12/2016 15:25,31##,MORRIS,WARD 1
Public Property Obstructions,Infrastructure Coordination and Development,Phone,10/12/2016 15:35, ,AIRE PL & LITTLE RIVER ACRES DR,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,10/12/2016 15:40,103##,SHENANDOAH,WARD 7
Building Conditions,Inspections,Phone,10/12/2016 15:40,103##,SHENANDOAH,WARD 7
Garbage Not Collected,Environmental Services,Phone,10/12/2016 15:42,9##,CHURCH,WARD 3
Building Conditions,Inspections,Phone,10/12/2016 16:06,961##,DIVISION,WARD 9
Garbage Preparation,Bylaw Enforcement,Phone,10/12/2016 16:14,10##,MARION,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/12/2016 16:29,19##,JEFFERSON,WARD 8
Tree Request,Forestry and Horticulture,Phone,10/12/2016 16:33,26##,ASKIN,WARD 10
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/12/2016 16:49,87##,RIVERSIDE,WARD 6
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/12/2016 16:53,87##,RIVERSIDE,WARD 6
Noise,Bylaw Enforcement,Phone,10/12/2016 17:07,87##,RIVERSIDE,WARD 6
Garbage Not Collected,Environmental Services,Phone,10/12/2016 17:14,9##,HALL,WARD 4
Building/Land - Improper Use,Inspections,Phone,10/12/2016 17:22,32##,CONSERVATION,WARD 9
Garbage Not Collected,Environmental Services,Phone,10/12/2016 17:23,12##,HANNA,WARD 4
Garbage Not Collected,Environmental Services,Phone,10/12/2016 18:13,15##,JANETTE,WARD 3
Garbage Not Collected,Environmental Services,Phone,10/12/2016 18:29,15##,OUELLETTE,WARD 3
Noise,Bylaw Enforcement,Phone,10/12/2016 18:35,87##,RIVERSIDE,WARD 6
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/12/2016 18:37,87##,RIVERSIDE,WARD 6
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/12/2016 18:44,87##,RIVERSIDE,WARD 6
Sewer Maintenance,Maintenance,Phone,10/12/2016 19:01,18##,HALL,WARD 4
Dirty Yard,Bylaw Enforcement,Web Intake,10/12/2016 23:50, , ,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 7:45,10##,CAMPBELL,WARD 2
Tree Request,Forestry and Horticulture,Phone,10/13/2016 8:25,23##,LOUIS,WARD 4
Fence & Hedge,Inspections,Phone,10/13/2016 8:33,56##,BALDWIN,WARD 8
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 8:33,13##,JANETTE,WARD 3
Tree Request,Forestry and Horticulture,Phone,10/13/2016 8:36,23##,LOUIS,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/13/2016 8:36,23##,LOUIS,WARD 4
Street Sweeping,Environmental Services,Phone,10/13/2016 8:40,23##,LOUIS,WARD 4
Recycling Not Collected,Environmental Services,Phone,10/13/2016 8:42,2##,CURRY,WARD 2
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 8:42,26##,LONGFELLOW,WARD 10
Garbage Not Collected,Environmental Services,Phone,10/13/2016 8:48,33##,TURNER,WARD 9
Graffiti,Parks Operations,E-Mail,10/13/2016 8:54,2##,BROCK,WARD 2
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 9:20,23##,MARIO,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 9:21,9##,MCKAY,WARD 2
Sewer Maintenance,Maintenance,Phone,10/13/2016 9:39,3##,ELM,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 9:41,13##,LAUREL BAY,WARD 7
Tree Request,Forestry and Horticulture,Phone,10/13/2016 9:44,10##,VIRGINIA,WARD 6
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 10:05,5##,JOHN HARVEY,WARD 9
Rodent Extermination,Environmental Services,Phone,10/13/2016 10:10,7##,AYLMER,WARD 3
Sewer Maintenance,Maintenance,Phone,10/13/2016 10:10,19##,FORD,WARD 8
Tree Request,Forestry and Horticulture,Phone,10/13/2016 10:14,33##,AVONDALE,WARD 1
Tree Request,Forestry and Horticulture,Phone,10/13/2016 10:16,33##,AVONDALE,WARD 1
Tree Request,Forestry and Horticulture,Phone,10/13/2016 10:16,33##,AVONDALE,WARD 1
Garbage Not Collected,Environmental Services,Phone,10/13/2016 10:28,13##,HENRY FORD CENTRE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 10:34,7##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 10:43,3##,NEWBURY,WARD 3
Garbage Not Collected,Environmental Services,Phone,10/13/2016 10:47,11##,DOUGALL,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 10:49,33##,MCKAY,WARD 1
Recycling Not Collected,Environmental Services,Phone,10/13/2016 10:54,3##,CHAPPELL,WARD 2
Tree Request,Forestry and Horticulture,Phone,10/13/2016 10:57,9##,HOMEDALE,WARD 6
Garbage Not Collected,Environmental Services,Phone,10/13/2016 11:04, ,HANNA,WARD 3
Public Property Obstructions,Infrastructure Coordination and Development,Phone,10/13/2016 11:04,11##,HIGHLAND,WARD 3
Building/Land - Improper Use,Inspections,Phone,10/13/2016 11:14,12##,CENTRAL,WARD 5
Dirty Yard,Bylaw Enforcement,Web Intake,10/13/2016 11:15, , ,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/13/2016 11:17,11##,GLIDDEN,WARD 6
Building Conditions,Inspections,Phone,10/13/2016 11:32,9##,OAK,WARD 3
Garbage Not Collected,Environmental Services,Phone,10/13/2016 11:41,43##,WYANDOTTE,WARD 5
Property Flooding / Grading,Inspections,Phone,10/13/2016 11:45,11##,UNIVERSITY,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/13/2016 11:55,12##,SUMACH,WARD 6
Road Clean-Up Request,Environmental Services,Phone,10/13/2016 12:04, ,HOWARD AVE & EC ROW OFF RAMP W,WARD 10
Tree Request,Forestry and Horticulture,Phone,10/13/2016 12:07,24##,GEORGE,WARD 5
Building Conditions,Inspections,Phone,10/13/2016 12:14,26##,MEADOWBROOK,WARD 8
Tree Request,Forestry and Horticulture,Phone,10/13/2016 12:19,9##,MORAND,WARD 9
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 12:21,8##,MONMOUTH,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/13/2016 12:22,17##,RANDOLPH,WARD 10
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/13/2016 12:25,18##,OTTAWA,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/13/2016 12:33,10##,HOWARD,WARD 3
Street Sweeping,Environmental Services,Phone,10/13/2016 12:34, ,NORTHWOOD ST & SOUTH CAMERON BLVD,WARD 10
Tree Request,Forestry and Horticulture,Phone,10/13/2016 12:56,9##,MARION,WARD 4
Garbage Not Collected,Environmental Services,Phone,10/13/2016 13:05,11##,JANETTE,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 13:06,36##,AVONDALE,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 13:25,11##,JANETTE,WARD 3
Noise,Bylaw Enforcement,Phone,10/13/2016 13:34,16##,BALFOUR,WARD 8
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 13:45,3##,MCEWAN,WARD 2
Tree Request,Forestry and Horticulture,Phone,10/13/2016 13:47,16##,AUBIN,WARD 5
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 13:50,95##,BEACHDALE,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 14:04,3##,RANDOLPH,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 14:12,16##,ALBERT,WARD 5
Tree Request,Forestry and Horticulture,Phone,10/13/2016 14:13,37##,MONTCALM,WARD 2
Tree Request,Forestry and Horticulture,Phone,10/13/2016 14:13,37##,MONTCALM,WARD 2
Garbage Preparation,Bylaw Enforcement,E-Mail,10/13/2016 14:14,18##,DAYTONA,WARD 10
Garbage Preparation,Bylaw Enforcement,E-Mail,10/13/2016 14:14,33##,SANDWICH,WARD 2
Recycling Not Collected,Environmental Services,Phone,10/13/2016 14:14,16##,PARENT,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 14:18,118##,ROCKLAND,WARD 7
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 14:22,31##,FAZIO,WARD 1
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 14:27,99##,ASGARD,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 14:28,9##,CHURCH,WARD 3
Pothole,Maintenance,Phone,10/13/2016 14:30,6##,GOYEAU,WARD 3
Sidewalk Construction & Repair,Maintenance,Phone,10/13/2016 14:32,8##,UNIVERSITY,WARD 3
Street Sweeping,Environmental Services,Phone,10/13/2016 14:42,21##,DOUGALL,WARD 3
Tree Request,Forestry and Horticulture,Phone,10/13/2016 14:51,39##,ZANZIBAR,WARD 9
Sewer Maintenance,Maintenance,Phone,10/13/2016 14:56, ,PITT ST W & CARON AVE,WARD 3
Graffiti,Parks Operations,Phone,10/13/2016 15:00,6##,PITT,WARD 3
Garbage Preparation,Bylaw Enforcement,Phone,10/13/2016 15:08,9##,ERIE,WARD 4
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/13/2016 15:10,35##,PETER,WARD 2
Sewer Maintenance,Maintenance,Phone,10/13/2016 15:17,45##,SOUTHWOOD LAKES,WARD 1
Tree Request,Forestry and Horticulture,Phone,10/13/2016 15:22,24##,FRANCOIS,WARD 5
Sewer Maintenance,Maintenance,Phone,10/13/2016 15:26,32##,BABY,WARD 2
Shoulder Maintenance,Maintenance,Phone,10/13/2016 15:27,28##,SHERWAY,WARD 7
Tree Request,Forestry and Horticulture,Phone,10/13/2016 15:35,96##,ASGARD,WARD 7
Dead Animal Removal,Environmental Services,Phone,10/13/2016 15:36,4##,GROVE,WARD 3
Abandoned Vehicle,Parking Enforcement,Phone,10/13/2016 15:37,13##,JOSEPHINE,WARD 2
Fence & Hedge,Inspections,Phone,10/13/2016 15:39,4##,ELLIOTT,WARD 3
Building/Land - Improper Use,Inspections,Phone,10/13/2016 15:40,6##,MERCER,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 15:40,24##,VITA,WARD 1
Tree Request,Forestry and Horticulture,Phone,10/13/2016 15:40,12##,PARTINGTON,WARD 2
Sewer Maintenance,Maintenance,Phone,10/13/2016 15:43,10##,CABANA,WARD 1
Keeping of Animals,Bylaw Enforcement,Phone,10/13/2016 15:48,27##,DOMINION,WARD 10
Tree Request,Forestry and Horticulture,Phone,10/13/2016 16:02,53##,CLARENCE,WARD 8
Sidewalk Construction & Repair,Maintenance,Phone,10/13/2016 16:04,8##,UNIVERSITY,WARD 3
Recycling Not Collected,Environmental Services,Phone,10/13/2016 16:08,10##,WINDSOR,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 16:09,30##,AVONDALE,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 16:20,45##,GRAND MARAIS,WARD 5
Street Sweeping,Environmental Services,Phone,10/13/2016 16:27,6##,CHURCH,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 16:29,6##,CHURCH,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 16:29,6##,CHURCH,WARD 3
Garbage Not Collected,Environmental Services,Phone,10/13/2016 16:35,14##,ELLROSE,WARD 5
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 16:36,32##,SEVILLE,WARD 7
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 16:41,36##,BIRCH,WARD 2
Building Conditions,Inspections,Phone,10/13/2016 16:42,6##,ARGYLE,WARD 4
Keeping of Animals,Bylaw Enforcement,Phone,10/13/2016 16:50,6##,VANIER,WARD 10
Garbage Not Collected,Environmental Services,Phone,10/13/2016 16:52,21##,CHILVER,WARD 4
Protection of Parks,Bylaw Enforcement,Phone,10/13/2016 16:53,3##,RIVERSIDE,WARD 4
Municipal Parking Garage,Traffic Operations,Web Intake,10/13/2016 16:56, , , 
Building Conditions,Inspections,Phone,10/13/2016 17:02,10##,LENA,WARD 2
Sidewalk Construction & Repair,Maintenance,Phone,10/13/2016 17:48,10##,HICKORY,WARD 5
Recycling Not Collected,Environmental Services,Phone,10/13/2016 18:07,8##,PARENT,WARD 4
Pothole,Maintenance,Phone,10/13/2016 18:26, ,CATARAQUI ST & CHILVER RD,WARD 4
Pothole,Maintenance,Phone,10/13/2016 18:26, ,CATARAQUI ST & CHILVER RD,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 18:32,7##,WINDERMERE,WARD 4
Garbage Not Collected,Environmental Services,Phone,10/13/2016 18:32,17##,AUBIN,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,10/13/2016 18:54,9##,PELISSIER,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/13/2016 18:54,84##,DARLINGTON,WARD 6
Garbage Not Collected,Environmental Services,Phone,10/14/2016 7:38,22##,BYNG,WARD 4
Garbage Not Collected,Environmental Services,Phone,10/14/2016 8:33,9##,GREENPARK,WARD 7
Recycling Not Collected,Environmental Services,Phone,10/14/2016 8:38,8##,ASSUMPTION,WARD 4
Road Clean-Up Request,Environmental Services,Phone,10/14/2016 9:11,14##,ELSMERE,WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,10/14/2016 9:18,9##,GILES,WARD 4
Parking Meter,Traffic Operations,Phone,10/14/2016 9:28,3##,VICTORIA,WARD 3
Road Clean-Up Request,Environmental Services,Phone,10/14/2016 9:31,2##,ORCHARD,WARD 6
Garbage Not Collected,Environmental Services,Phone,10/14/2016 9:32,6##,KILDARE,WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,10/14/2016 9:38,14##,LINCOLN,WARD 4
Garbage Preparation,Bylaw Enforcement,Phone,10/14/2016 9:39,14##,LINCOLN,WARD 4
Recycling Not Collected,Environmental Services,Phone,10/14/2016 9:39,8##,ASSUMPTION,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,10/14/2016 9:55,3##,OAK,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,10/14/2016 9:55,3##,OAK,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 10:14,34##,MCKAY,WARD 1
Portable Sign Issue,Bylaw Enforcement,Phone,10/14/2016 10:17,30##,DOMINION,WARD 1
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/14/2016 10:26,12##,PARTINGTON,WARD 2
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/14/2016 10:27,12##,PARTINGTON,WARD 2
Alley Maintenance,Maintenance,Phone,10/14/2016 10:32,9##,MOY,WARD 4
Pothole,Maintenance,Phone,10/14/2016 10:36, ,CHATHAM ST E & MCDOUGALL ST,WARD 3
Recycling Not Collected,Environmental Services,Phone,10/14/2016 10:43,11##,LANGLOIS,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,10/14/2016 11:21,70##,WYANDOTTE,WARD 6
Building Conditions,Inspections,Phone,10/14/2016 11:22,4##,WYANDOTTE,WARD 3
Building/Land - Improper Use,Inspections,Phone,10/14/2016 11:38,19##,BUCKINGHAM,WARD 8
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 11:40,84##,KINGSTON,WARD 6
Building/Land - Improper Use,Inspections,Phone,10/14/2016 11:44,9##,PARENT,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/14/2016 11:47,23##,GLADSTONE,WARD 4
Abandoned Vehicle,Parking Enforcement,Phone,10/14/2016 11:48,15##,CHATEAU,WARD 7
Snow Plowing & Salting Request,Maintenance,Phone,10/14/2016 11:55,4##,CITY HALL,WARD 3
Building Conditions,Inspections,Phone,10/14/2016 11:58,33##,SANDWICH,WARD 2
Illegal Dumping Public Property,Environmental Services,Phone,10/14/2016 12:01, ,CARON AVE & CHATHAM ST W,WARD 3
Building Conditions,Inspections,Phone,10/14/2016 12:07,73##,TRANBY,WARD 6
Tree Request,Forestry and Horticulture,Phone,10/14/2016 12:09,35##,MORRIS,WARD 1
Tree Request,Forestry and Horticulture,Phone,10/14/2016 12:13,7##,BRUCE,WARD 3
3-Day Parking Infraction,Parking Enforcement,Phone,10/14/2016 12:17,35##,PETER,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 12:17,5##,SOUTH,WARD 2
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/14/2016 12:42,16##,ST LUKE,WARD 5
Rodent Extermination,Environmental Services,Phone,10/14/2016 12:43,34##,BARRYMORE,WARD 2
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 12:51,16##,ST GABRIEL,WARD 1
Tree Request,Forestry and Horticulture,Phone,10/14/2016 12:55, ,DENNISON CRT & SARAH CRT,WARD 9
Tree Request,Forestry and Horticulture,Phone,10/14/2016 12:56,17##,CHILVER,WARD 4
Dead Animal Removal,Environmental Services,Phone,10/14/2016 13:08,7##,BARTLET,WARD 1
Garbage Not Collected,Environmental Services,Phone,10/14/2016 13:20,6##,KILDARE,WARD 4
Rodent Extermination,Environmental Services,Phone,10/14/2016 13:31,8##,LOUIS,WARD 4
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 13:35,16##,COURTLAND,WARD 8
Tree Request,Forestry and Horticulture,Phone,10/14/2016 13:51,6##,EDINBOROUGH,WARD 10
Garbage Not Collected,Environmental Services,Phone,10/14/2016 13:58,12##,BELLE ISLE VIEW,WARD 6
Sewer Maintenance,Maintenance,Phone,10/14/2016 13:58,6##,EDINBOROUGH,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 14:01,11##,OAK,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 14:03,32##,VIRGINIA PARK,WARD 1
3-Day Parking Infraction,Parking Enforcement,Phone,10/14/2016 14:05,29##,JEFFERSON,WARD 8
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 14:11,32##,DAYTONA,WARD 1
Illegal Dumping Public Property,Environmental Services,Phone,10/14/2016 14:20,9##,DOUGALL,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 14:43,28##,ST CLAIR,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 14:49,102##,CALEDON,WARD 7
Tree Request,Forestry and Horticulture,Phone,10/14/2016 14:52,26##,RICHMOND,WARD 5
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 14:56,27##,EVERTS,WARD 10
Building Conditions,Inspections,Phone,10/14/2016 15:00,14##,DIVISION,WARD 9
Public Property Obstructions,Infrastructure Coordination and Development,Phone,10/14/2016 15:00,34##,RANKIN,WARD 1
Building/Land - Improper Use,Inspections,Phone,10/14/2016 15:00,9##,ST LUKE,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:01,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:01,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:01,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:02,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:02,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:03,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:03,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:03,13##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:04,14##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:05,14##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:05,14##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:06,14##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:06,14##,GLADSTONE,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:07,13##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:07,14##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:08,14##,LINCOLN,WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:08,14##,LINCOLN,WARD 4
Road Clean-Up Request,Environmental Services,Phone,10/14/2016 15:08,31##,WALKER,WARD 9
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:09,15##,SHEPHERD,WARD 4
Sewer Maintenance,Maintenance,Phone,10/14/2016 15:26,38##,BLACKBURN,WARD 2
Sewer Maintenance,Maintenance,Phone,10/14/2016 15:34,7##,SAMANTHA,WARD 9
Tree Request,Forestry and Horticulture,Phone,10/14/2016 15:47,40##,EDEN,WARD 1
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 15:48,32##,MARK,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,10/14/2016 15:58,15##,BENJAMIN,WARD 4
Building/Land - Improper Use,Inspections,Phone,10/14/2016 15:59,15##,BENJAMIN,WARD 4
3-Day Parking Infraction,Parking Enforcement,Phone,10/14/2016 16:04,8##,HOWARD,WARD 3
Downspout Disconnect,Contracts and Field Services,Phone,10/14/2016 16:05,35##,MAISONNEUVE,WARD 1
Garbage Not Collected,Environmental Services,Phone,10/14/2016 16:17,18##,QUESTA,WARD 7
Noise,Bylaw Enforcement,Phone,10/14/2016 16:26,67##,WYANDOTTE,WARD 6
Property Flooding / Grading,Inspections,Phone,10/14/2016 16:32,13##,FRANCOIS,WARD 5
Tree Request,Forestry and Horticulture,Phone,10/14/2016 16:38, ,RICHMOND ST & DEVONSHIRE RD,WARD 4
Garbage Not Collected,Environmental Services,Phone,10/14/2016 16:39,20##,WESTMINSTER,WARD 8
Abandoned Vehicle,Parking Enforcement,Phone,10/14/2016 16:48,9##,LILLIAN,WARD 4
Garbage Not Collected,Environmental Services,Phone,10/14/2016 17:09,20##,FERNDALE,WARD 8
Tree Request,Forestry and Horticulture,Phone,10/14/2016 17:49,18##,NIAGARA,WARD 4
Illegal Dumping Public Property,Environmental Services,Phone,10/14/2016 17:59,15##,PIERRE,WARD 4
Road Clean-Up Request,Environmental Services,Phone,10/14/2016 18:05,13##,UNIVERSITY,WARD 2
Garbage Not Collected,Environmental Services,Phone,10/14/2016 18:12,5##,ELINOR,WARD 7
Dead Animal Removal,Environmental Services,Phone,10/14/2016 18:12,19##,AUBIN,WARD 5
Alley Maintenance,Maintenance,Phone,10/14/2016 18:18,23##,HOWARD,WARD 3
Recycling Not Collected,Environmental Services,Phone,10/14/2016 18:51,10##,ESDRAS,WARD 6
Public Property Obstructions,Infrastructure Coordination and Development,Web Intake,10/14/2016 19:17, , ,WARD 7
Recycling Not Collected,Environmental Services,Web Intake,10/15/2016 13:17, , , 
Garbage Not Collected,Environmental Services,Web Intake,10/15/2016 17:21, , ,WARD 7
Building Conditions,Inspections,Web Intake,10/15/2016 22:42, , ,WARD 4
Sewer Maintenance,Maintenance,Web Intake,10/16/2016 11:53, , ,WARD 5
Building Conditions,Inspections,Web Intake,10/16/2016 14:48, , ,WARD 2
Recycling Not Collected,Environmental Services,Web Intake,10/16/2016 15:39, , , 
Dead Animal Removal,Environmental Services,Phone,10/17/2016 7:17,8##,LAPORTE,WARD 6
Recycling Not Collected,Environmental Services,Phone,10/17/2016 7:20,9##,ESDRAS,WARD 6
Recycling Not Collected,Environmental Services,Phone,10/17/2016 8:14,10##,ESDRAS,WARD 6
Tree Request,Forestry and Horticulture,Phone,10/17/2016 8:26,33##,DEERBROOK,WARD 7
Garbage Not Collected,Environmental Services,Phone,10/17/2016 8:27,13##,HALL,WARD 4
Dog Complaint - Bylaw,Bylaw Enforcement,Phone,10/17/2016 8:39,31##,MEADOWBROOK,WARD 8
Garbage Preparation,Bylaw Enforcement,E-Mail,10/17/2016 8:40,3##,RANKIN,WARD 2
Property Flooding / Grading,Inspections,Phone,10/17/2016 8:41,4##,LORI,WARD 6
Garbage Preparation,Bylaw Enforcement,E-Mail,10/17/2016 8:41,3##,RANKIN,WARD 2
Garbage Preparation,Bylaw Enforcement,E-Mail,10/17/2016 8:43,4##,RANDOLPH,WARD 2
Garbage Preparation,Bylaw Enforcement,E-Mail,10/17/2016 8:44,3##,RANDOLPH,WARD 2
Dog Complaint - Humane Society,Humane Society,Phone,10/17/2016 8:45,5##,CRAWFORD,WARD 3
Dirty Yard,Bylaw Enforcement,E-Mail,10/17/2016 8:46,3##,RANKIN,WARD 2
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 8:58,15##,PIERRE,WARD 4
Recycling Not Collected,Environmental Services,Phone,10/17/2016 8:59,11##,ESDRAS,WARD 6
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 9:04,15##,PIERRE,WARD 4
Tree Request,Forestry and Horticulture,Phone,10/17/2016 9:12,3##,ERIE,WARD 3
Dead Animal Removal,Environmental Services,Phone,10/17/2016 9:15,19##,WESTCOTT,WARD 5
Rodent Extermination,Environmental Services,Phone,10/17/2016 9:20,7##,TUSCARORA,WARD 4
Rodent Extermination,Environmental Services,Phone,10/17/2016 9:28,27##,ROBERT,WARD 5
Road Clean-Up Request,Environmental Services,Phone,10/17/2016 9:30, ,"DEVONSHIRE CRT & KILDARE RD, WINDSOR",WARD 4
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 9:32,27##,ROBERT,WARD 5
Tree Request,Forestry and Horticulture,Phone,10/17/2016 9:36,20##,QUESTA,WARD 7
Rodent Extermination,Environmental Services,Phone,10/17/2016 9:40,44##,CHERRY HILL,WARD 1
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 9:43,17##,CADILLAC,WARD 5
Garbage Preparation,Bylaw Enforcement,Phone,10/17/2016 9:51,30##,RADISSON,WARD 1
Dirty Yard,Bylaw Enforcement,E-Mail,10/17/2016 9:54,36##,QUEEN,WARD 2
Downspout Disconnect,Contracts and Field Services,Phone,10/17/2016 10:01,33##,GLENWOOD,WARD 1
Building/Land - Improper Use,Inspections,Phone,10/17/2016 10:01,30##,PETER,WARD 2
Pothole,Maintenance,Phone,10/17/2016 10:02, ,TECUMSEH,WARD 3
Tree Request,Forestry and Horticulture,Phone,10/17/2016 10:08,14##,TOURANGEAU,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 10:21,5##,OAK,WARD 3
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 10:28,9##,ARTHUR,WARD 5
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 10:33,39##,LONGFELLOW,WARD 1
Recycling Not Collected,Environmental Services,Phone,10/17/2016 10:38,13##,RICHMOND,WARD 4
Downspout Disconnect,Contracts and Field Services,Phone,10/17/2016 10:42,26##,BUTTERY,WARD 10
Dirty Yard,Bylaw Enforcement,Phone,10/17/2016 10:47,16##,ARTHUR,WARD 5
Rodent Extermination,Environmental Services,Phone,10/17/2016 10:51,13##,RICHMOND,WARD 4
